Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,Date
File,AbstractBlock.java,2,2,2,1,13,0,6,7,,,,1,0,1,,39,39,7,39,,0,4,10,25,,672,52,263,86,134,357,,,126,189,82,107,,,,,10,10,10,10,,1,,1.36,62,62,62,48,2007-04
File,AbstractCategoryItemLabelGenerator.java,2,2,2,1,17,0,9,7,,,,1,0,1,,12,12,5,12,,0,0,5,7,,317,26,134,44,68,157,,,63,93,36,57,,,,,6,6,6,6,,2,,1.17,29,29,29,17,2007-04
File,AbstractCategoryItemRenderer.java,3,3,3,1,25,1,14,9,,,,1,0,1,,52,52,15,52,,0,0,8,44,,1572,144,829,291,497,600,,,372,520,222,298,,,,,19,19,20,15,,4,,0.72,147,147,149,72,2007-04
File,AbstractDataset.java,1,1,1,1,11,0,4,7,,,,1,0,1,,12,12,2,12,,0,2,3,7,,245,22,72,34,26,152,,,36,52,31,21,,,,,3,3,3,1,,2,,2.11,15,15,15,12,2007-04
File,AbstractIntervalXYDataset.java,2,2,2,1,17,0,8,9,,,,1,0,0,,4,4,0,4,,0,0,0,4,,128,8,36,15,20,84,,,17,26,14,12,,,,,2,2,2,1,,1,,2.33,8,8,8,4,2007-04
File,AbstractPieItemLabelGenerator.java,3,3,3,2,19,0,11,7,,,,1,0,1,,8,8,3,8,,0,0,3,5,,235,21,100,32,54,114,,,46,69,28,41,,,,,6,6,6,6,,2,,1.14,22,22,22,13,2007-04
File,AbstractRenderer.java,2,2,2,1,16,0,7,8,,,,1,0,11,,152,152,45,152,,0,2,3,147,,2956,294,1278,291,692,1384,,,527,854,271,583,,,,,46,46,46,46,,2,,1.08,327,327,327,199,2007-04
File,AbstractSeriesDataset.java,1,1,1,1,9,0,3,6,,,,1,0,1,,5,5,0,5,,0,0,1,4,,117,10,25,13,8,82,,,12,18,11,7,,,,,3,3,3,3,,2,,3.28,7,7,7,7,2007-04
File,AbstractXYAnnotation.java,2,2,2,2,13,0,6,7,,,,1,0,0,,9,9,2,9,,0,0,2,7,,207,16,74,32,30,117,,,34,51,26,25,,,,,5,5,5,5,,1,,1.58,17,17,17,15,2007-04
File,AbstractXYDataset.java,2,2,2,1,13,0,6,7,,,,1,0,0,,3,3,0,3,,0,0,0,3,,101,7,25,12,11,69,,,12,18,11,7,,,,,2,2,2,1,,1,,2.76,5,5,5,3,2007-04
