ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,50,68,2,50,2003-07
2,50,68,2,50,2003-10
3,50,68,2,50,2004-01
4,50,68,2,50,2004-04
5,50,68,2,50,2004-07
6,50,68,2,50,2004-10
7,50,68,2,50,2003-04
8,50,67,2,50,2006-01
9,50,68,2,50,2005-01
10,50,68,2,50,2005-04
11,50,68,2,50,2005-07
12,50,67,2,50,2005-10
13,50,67,2,50,2006-04
14,50,67,2,50,2008-04
15,50,67,2,50,2008-07
16,50,67,2,50,2008-10
17,50,67,2,50,2006-07
18,50,67,2,50,2006-10
19,50,67,2,50,2007-01
20,50,67,2,50,2007-04
21,50,67,2,50,2007-07
22,50,67,2,50,2007-10
23,50,67,2,50,2008-01
