ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,33,20,4,725,2003-07
2,33,20,4,725,2003-10
3,33,20,4,725,2004-01
4,33,20,4,725,2004-04
5,33,20,4,725,2004-07
6,33,20,4,725,2004-10
7,33,20,4,725,2003-04
8,33,20,4,725,2006-01
9,33,20,4,725,2005-01
10,33,20,4,725,2005-04
11,33,20,4,725,2005-07
12,33,20,4,725,2005-10
13,33,20,4,725,2006-04
14,33,20,4,725,2008-04
15,33,20,4,725,2008-07
16,33,20,4,725,2008-10
17,33,20,4,725,2006-07
18,33,20,4,725,2006-10
19,33,20,4,725,2007-01
20,33,20,4,725,2007-04
21,33,20,4,725,2007-07
22,33,20,4,725,2007-10
23,33,20,4,725,2008-01
