ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,50,19,4,16,2003-07
2,50,19,4,16,2003-10
3,50,19,4,16,2004-01
4,50,19,4,16,2004-04
5,50,19,4,16,2004-07
6,50,20,4,19,2004-10
7,50,19,4,16,2003-04
8,62,22,4,19,2006-01
9,50,20,4,19,2005-01
10,50,20,4,19,2005-04
11,62,22,4,19,2005-07
12,62,22,4,19,2005-10
13,62,22,4,19,2006-04
14,62,22,4,19,2008-04
15,62,22,4,19,2008-07
16,62,22,4,19,2008-10
17,62,22,4,19,2006-07
18,62,22,4,19,2006-10
19,62,22,4,19,2007-01
20,62,22,4,19,2007-04
21,62,22,4,19,2007-07
22,62,22,4,19,2007-10
23,62,22,4,19,2008-01
