ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,83,53,14,26,2003-07
2,87,67,18,30,2003-10
3,87,67,18,30,2004-01
4,90,80,22,34,2004-04
5,90,80,22,34,2004-07
6,90,80,22,34,2004-10
7,83,53,14,26,2003-04
8,86,64,17,29,2006-01
9,90,80,22,34,2005-01
10,86,64,17,29,2005-04
11,86,64,17,29,2005-07
12,86,64,17,29,2005-10
13,86,64,17,29,2006-04
14,86,64,17,29,2008-04
15,86,64,17,29,2008-07
16,86,64,17,29,2008-10
17,86,64,17,29,2006-07
18,86,64,17,29,2006-10
19,86,64,17,29,2007-01
20,86,64,17,29,2007-04
21,86,64,17,29,2007-07
22,86,64,17,29,2007-10
23,86,64,17,29,2008-01
