ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,90,453,100,68,2003-07
2,90,512,112,71,2003-10
3,90,517,113,72,2004-01
4,91,561,120,74,2004-04
5,92,565,120,74,2004-07
6,92,572,122,74,2004-10
7,88,421,92,62,2003-04
8,92,696,147,78,2006-01
9,92,599,130,74,2005-01
10,92,661,137,74,2005-04
11,92,695,145,78,2005-07
12,92,696,147,78,2005-10
13,92,657,147,78,2006-04
14,92,696,157,82,2008-04
15,92,698,158,82,2008-07
16,92,698,158,82,2008-10
17,92,657,147,78,2006-07
18,92,657,147,78,2006-10
19,92,657,147,78,2007-01
20,92,669,150,81,2007-04
21,92,690,155,82,2007-07
22,92,690,155,82,2007-10
23,92,696,157,82,2008-01
