ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,62,29,4,16,2003-07
2,60,28,5,17,2003-10
3,60,28,5,17,2004-01
4,72,70,10,22,2004-04
5,64,141,29,26,2004-07
6,64,141,29,26,2004-10
7,62,29,4,16,2003-04
8,83,303,56,40,2006-01
9,80,283,50,37,2005-01
10,79,222,39,31,2005-04
11,84,247,42,34,2005-07
12,84,263,44,35,2005-10
13,83,305,56,40,2006-04
14,88,379,76,52,2008-04
15,90,419,88,59,2008-07
16,90,422,89,60,2008-10
17,85,325,62,44,2006-07
18,85,325,62,44,2006-10
19,86,340,66,46,2007-01
20,86,340,66,46,2007-04
21,88,354,70,50,2007-07
22,88,355,70,50,2007-10
23,88,355,70,50,2008-01
