ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,0,21,6,18,2003-07
2,0,21,6,18,2003-10
3,0,21,6,18,2004-01
4,0,21,6,18,2004-04
5,0,21,6,18,2004-07
6,0,21,6,18,2004-10
7,0,21,6,18,2003-04
8,56,38,11,20,2006-01
9,0,21,6,18,2005-01
10,0,21,6,18,2005-04
11,56,38,11,20,2005-07
12,56,38,11,20,2005-10
13,56,38,11,20,2006-04
14,50,40,11,20,2008-04
15,50,40,11,20,2008-07
16,50,40,11,20,2008-10
17,56,38,11,20,2006-07
18,56,38,11,20,2006-10
19,56,38,11,20,2007-01
20,56,38,11,20,2007-04
21,56,38,11,20,2007-07
22,56,38,11,20,2007-10
23,56,38,11,20,2008-01
