ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,84,65,15,27,2003-07
2,82,84,19,28,2003-10
3,82,84,19,28,2004-01
4,82,84,19,28,2004-04
5,82,84,19,28,2004-07
6,82,87,20,28,2004-10
7,73,29,6,18,2003-04
8,84,104,26,29,2006-01
9,82,96,25,28,2005-01
10,82,103,26,29,2005-04
11,84,104,26,29,2005-07
12,84,104,26,29,2005-10
13,84,104,26,29,2006-04
14,81,123,30,29,2008-04
15,81,123,30,29,2008-07
16,81,123,30,29,2008-10
17,84,104,26,29,2006-07
18,84,104,26,29,2006-10
19,81,123,30,29,2007-01
20,81,123,30,29,2007-04
21,81,123,30,29,2007-07
22,81,123,30,29,2007-10
23,81,123,30,29,2008-01
