ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,0,29,2,14,2003-07
2,25,50,7,16,2003-10
3,25,50,7,16,2004-01
4,25,50,7,16,2004-04
5,25,50,7,16,2004-07
6,25,50,7,16,2004-10
7,36,93,15,25,2006-01
8,25,73,14,24,2005-01
9,24,92,15,25,2005-04
10,36,93,15,25,2005-07
11,36,93,15,25,2005-10
12,36,93,15,25,2006-04
13,36,86,15,26,2008-04
14,47,105,17,27,2008-07
15,47,105,17,27,2008-10
16,36,93,15,25,2006-07
17,36,93,15,25,2006-10
18,36,93,15,25,2007-01
19,36,87,15,26,2007-04
20,36,87,15,26,2007-07
21,36,87,15,26,2007-10
22,36,87,15,26,2008-01
