ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,79,91,12,45,2003-07
2,82,150,25,57,2003-10
3,82,150,25,57,2004-01
4,82,150,25,57,2004-04
5,82,150,25,57,2004-07
6,82,155,26,57,2004-10
7,84,171,27,65,2006-01
8,82,161,27,61,2005-01
9,82,170,27,65,2005-04
10,84,171,27,65,2005-07
11,84,171,27,65,2005-10
12,84,171,27,65,2006-04
13,82,206,38,67,2008-04
14,82,205,38,67,2008-07
15,82,205,38,67,2008-10
16,84,188,37,65,2006-07
17,84,191,38,65,2006-10
18,84,191,38,65,2007-01
19,82,206,38,67,2007-04
20,82,206,38,67,2007-07
21,82,206,38,67,2007-10
22,82,206,38,67,2008-01
