ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,91,397,86,62,2003-07
2,90,392,84,60,2003-10
3,91,445,95,67,2004-01
4,91,456,96,67,2004-04
5,94,476,97,67,2004-07
6,94,474,96,67,2004-10
7,90,379,87,59,2003-04
8,94,530,112,68,2006-01
9,94,507,114,67,2005-01
10,94,541,114,67,2005-04
11,94,530,112,68,2005-07
12,94,530,112,68,2005-10
13,94,530,112,68,2006-04
14,94,518,114,69,2008-04
15,94,515,114,69,2008-07
16,95,556,125,76,2008-10
17,94,513,112,68,2006-07
18,94,513,112,68,2006-10
19,94,513,112,68,2007-01
20,94,513,112,68,2007-04
21,94,513,112,68,2007-07
22,94,513,112,68,2007-10
23,94,513,112,68,2008-01
