ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,70,43,11,16,2003-07
2,65,43,11,16,2003-10
3,65,43,11,16,2004-01
4,56,67,17,17,2004-04
5,56,67,17,17,2004-07
6,56,67,17,17,2004-10
7,63,72,17,17,2006-01
8,56,67,17,17,2005-01
9,56,71,17,17,2005-04
10,63,72,17,17,2005-07
11,63,72,17,17,2005-10
12,63,72,17,17,2006-04
13,69,71,18,18,2008-04
14,69,71,18,18,2008-07
15,69,71,18,18,2008-10
16,63,72,17,17,2006-07
17,63,72,17,17,2006-10
18,63,69,17,17,2007-01
19,69,71,18,18,2007-04
20,69,71,18,18,2007-07
21,69,71,18,18,2007-10
22,69,71,18,18,2008-01
