ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,41,154,37,29,2003-07
2,42,174,42,31,2003-10
3,42,174,42,31,2004-01
4,40,178,43,32,2004-04
5,40,178,43,32,2004-07
6,40,181,44,32,2004-10
7,49,181,44,31,2006-01
8,40,181,44,32,2005-01
9,38,168,43,30,2005-04
10,49,181,44,31,2005-07
11,49,181,44,31,2005-10
12,49,181,44,31,2006-04
13,49,181,44,31,2008-04
14,49,181,44,31,2008-07
15,49,181,44,31,2008-10
16,49,181,44,31,2006-07
17,49,181,44,31,2006-10
18,49,181,44,31,2007-01
19,49,181,44,31,2007-04
20,49,181,44,31,2007-07
21,49,181,44,31,2007-10
22,49,181,44,31,2008-01
