ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,0,97,20,96,2003-07
2,0,35,7,104,2003-10
3,0,35,7,114,2004-01
4,0,44,8,117,2004-04
5,0,44,8,118,2004-07
6,0,80,15,121,2004-10
7,100,92,15,119,2006-01
8,0,80,15,121,2005-01
9,0,91,15,109,2005-04
10,100,92,15,111,2005-07
11,100,92,15,119,2005-10
12,100,92,15,119,2006-04
13,100,86,15,122,2008-04
14,100,86,15,123,2008-07
15,100,86,15,130,2008-10
16,100,87,15,120,2006-07
17,100,87,15,120,2006-10
18,100,86,15,120,2007-01
19,100,86,15,120,2007-04
20,100,86,15,120,2007-07
21,100,86,15,121,2007-10
22,100,86,15,121,2008-01
