ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,74,190,33,27,2003-07
2,76,193,34,28,2003-10
3,76,193,34,28,2004-01
4,76,201,34,28,2004-04
5,76,201,34,28,2004-07
6,76,201,34,28,2004-10
7,79,229,40,29,2006-01
8,76,201,34,28,2005-01
9,76,225,39,28,2005-04
10,79,229,40,29,2005-07
11,79,229,40,29,2005-10
12,79,229,40,29,2006-04
13,79,212,40,29,2008-04
14,79,212,40,29,2008-07
15,79,212,40,29,2008-10
16,79,229,40,29,2006-07
17,79,229,40,29,2006-10
18,79,229,40,29,2007-01
19,79,229,40,29,2007-04
20,79,212,40,29,2007-07
21,79,212,40,29,2007-10
22,79,212,40,29,2008-01
