ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,75,28,6,15,2003-07
2,75,28,6,15,2003-10
3,75,28,6,15,2004-01
4,75,28,6,15,2004-04
5,62,40,10,16,2004-07
6,62,40,10,16,2004-10
7,70,41,10,16,2006-01
8,62,40,10,16,2005-01
9,62,40,10,16,2005-04
10,70,41,10,16,2005-07
11,70,41,10,16,2005-10
12,70,41,10,16,2006-04
13,70,41,10,16,2008-04
14,70,41,10,16,2008-07
15,70,41,10,16,2008-10
16,70,41,10,16,2006-07
17,70,41,10,16,2006-10
18,70,41,10,16,2007-01
19,70,41,10,16,2007-04
20,70,41,10,16,2007-07
21,70,41,10,16,2007-10
22,70,41,10,16,2008-01
