ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,75,89,29,28,2003-07
2,81,108,33,32,2003-10
3,81,127,34,32,2004-01
4,81,127,34,32,2004-04
5,81,127,34,32,2004-07
6,81,127,34,32,2004-10
7,75,89,29,28,2003-04
8,82,141,37,34,2006-01
9,81,129,36,32,2005-01
10,81,133,36,32,2005-04
11,82,141,37,33,2005-07
12,82,141,37,34,2005-10
13,82,141,37,34,2006-04
14,85,153,40,39,2008-04
15,85,153,40,39,2008-07
16,85,153,40,39,2008-10
17,82,141,37,34,2006-07
18,82,141,37,34,2006-10
19,82,141,37,34,2007-01
20,83,147,38,35,2007-04
21,83,159,40,37,2007-07
22,83,159,40,39,2007-10
23,83,159,40,39,2008-01
