ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,38,89,12,18,2003-07
2,38,90,12,18,2003-10
3,38,90,12,18,2004-01
4,38,92,12,18,2004-04
5,38,92,12,18,2004-07
6,38,92,12,18,2004-10
7,50,122,18,19,2006-01
8,38,101,17,18,2005-01
9,38,101,17,18,2005-04
10,50,122,18,19,2005-07
11,50,122,18,19,2005-10
12,50,122,18,19,2006-04
13,50,122,18,19,2008-04
14,50,122,18,19,2008-07
15,50,122,18,19,2008-10
16,50,122,18,19,2006-07
17,50,122,18,19,2006-10
18,50,122,18,19,2007-01
19,50,122,18,19,2007-04
20,50,122,18,19,2007-07
21,50,122,18,19,2007-10
22,50,122,18,19,2008-01
