ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,0,97,22,145,2003-07
2,0,35,6,163,2003-10
3,0,35,6,164,2004-01
4,0,39,6,168,2004-04
5,0,39,6,179,2004-07
6,0,39,6,180,2004-10
7,100,43,6,175,2006-01
8,0,39,6,180,2005-01
9,0,39,6,173,2005-04
10,100,43,6,175,2005-07
11,100,43,6,175,2005-10
12,100,48,8,175,2006-04
13,100,48,8,178,2008-04
14,100,48,8,178,2008-07
15,100,48,8,187,2008-10
16,100,48,8,175,2006-07
17,100,48,8,175,2006-10
18,100,48,8,175,2007-01
19,100,48,8,177,2007-04
20,100,48,8,177,2007-07
21,100,48,8,177,2007-10
22,100,48,8,177,2008-01
