ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,0,4,1,46,2003-07
2,0,4,1,49,2003-10
3,0,4,1,49,2004-01
4,0,4,1,49,2004-04
5,0,4,1,49,2004-07
6,0,4,1,49,2004-10
7,0,5,1,48,2006-01
8,0,4,1,49,2005-01
9,0,4,1,48,2005-04
10,0,5,1,48,2005-07
11,0,5,1,48,2005-10
12,0,5,1,48,2006-04
13,0,5,1,48,2008-04
14,0,5,1,48,2008-07
15,0,5,1,48,2008-10
16,0,5,1,48,2006-07
17,0,5,1,48,2006-10
18,0,5,1,48,2007-01
19,0,5,1,48,2007-04
20,0,5,1,48,2007-07
21,0,5,1,48,2007-10
22,0,5,1,48,2008-01
