ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,70,129,34,39,2003-07
2,70,147,38,42,2003-10
3,70,147,38,42,2004-01
4,70,147,38,42,2004-04
5,70,147,38,42,2004-07
6,70,150,38,42,2004-10
7,68,151,37,41,2006-01
8,70,150,38,42,2005-01
9,68,147,37,41,2005-04
10,68,151,37,41,2005-07
11,68,151,37,41,2005-10
12,68,151,37,41,2006-04
13,68,151,37,41,2008-04
14,68,151,37,41,2008-07
15,68,151,37,41,2008-10
16,68,151,37,41,2006-07
17,68,151,37,41,2006-10
18,68,151,37,41,2007-01
19,68,151,37,41,2007-04
20,68,151,37,41,2007-07
21,68,151,37,41,2007-10
22,68,151,37,41,2008-01
