ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,66,52,12,45,2003-07
2,66,47,11,48,2003-10
3,66,47,11,48,2004-01
4,66,47,11,48,2004-04
5,66,47,11,48,2004-07
6,66,47,11,48,2004-10
7,66,50,11,47,2006-01
8,66,47,11,48,2005-01
9,66,47,11,47,2005-04
10,66,50,11,47,2005-07
11,66,50,11,47,2005-10
12,66,50,11,47,2006-04
13,66,49,11,47,2008-04
14,66,49,11,47,2008-07
15,66,49,11,47,2008-10
16,66,50,11,47,2006-07
17,66,50,11,47,2006-10
18,66,50,11,47,2007-01
19,66,50,11,47,2007-04
20,66,50,11,47,2007-07
21,66,50,11,47,2007-10
22,66,50,11,47,2008-01
