ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,94,517,73,51,2003-07
2,94,556,76,52,2003-10
3,94,556,76,52,2004-01
4,94,556,76,52,2004-04
5,94,583,80,55,2004-07
6,94,586,80,55,2004-10
7,94,636,81,56,2006-01
8,94,586,80,55,2005-01
9,94,583,80,55,2005-04
10,94,636,81,56,2005-07
11,94,636,81,56,2005-10
12,94,636,81,56,2006-04
13,94,640,84,57,2008-04
14,94,640,84,57,2008-07
15,94,640,84,57,2008-10
16,94,636,81,56,2006-07
17,94,640,82,56,2006-10
18,94,640,82,56,2007-01
19,94,640,82,56,2007-04
20,94,640,82,56,2007-07
21,94,653,84,57,2007-10
22,94,653,84,57,2008-01
