ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,66,37,8,18,2003-07
2,67,31,7,19,2003-10
3,67,31,7,19,2004-01
4,67,31,7,19,2004-04
5,59,59,16,20,2004-07
6,59,59,16,20,2004-10
7,66,37,8,18,2003-04
8,67,63,16,20,2006-01
9,59,59,16,20,2005-01
10,59,62,16,20,2005-04
11,67,63,16,20,2005-07
12,67,63,16,20,2005-10
13,67,63,16,20,2006-04
14,67,63,16,20,2008-04
15,67,63,16,20,2008-07
16,67,63,16,20,2008-10
17,67,63,16,20,2006-07
18,67,63,16,20,2006-10
19,67,63,16,20,2007-01
20,67,63,16,20,2007-04
21,67,63,16,20,2007-07
22,67,63,16,20,2007-10
23,67,63,16,20,2008-01
