ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,19,42,11,17,2003-07
2,19,42,11,17,2003-10
3,19,42,11,17,2004-01
4,19,42,11,17,2004-04
5,19,42,11,17,2004-07
6,19,42,11,17,2004-10
7,19,42,11,17,2003-04
8,58,47,13,18,2006-01
9,19,42,11,17,2005-01
10,19,42,11,17,2005-04
11,60,43,11,17,2005-07
12,58,47,13,18,2005-10
13,58,47,13,18,2006-04
14,62,59,16,20,2008-04
15,62,59,16,20,2008-07
16,62,59,16,20,2008-10
17,58,47,13,18,2006-07
18,58,47,13,18,2006-10
19,58,47,13,18,2007-01
20,58,47,13,18,2007-04
21,58,48,13,18,2007-07
22,62,59,16,20,2007-10
23,62,59,16,20,2008-01
