ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,55,215,11,21,2003-07
2,45,233,16,23,2003-10
3,38,242,19,25,2004-01
4,38,242,19,25,2004-04
5,38,242,19,25,2004-07
6,38,242,19,25,2004-10
7,55,215,11,21,2003-04
8,55,66,15,21,2006-01
9,38,242,19,25,2005-01
10,11,64,15,21,2005-04
11,55,65,15,21,2005-07
12,55,66,15,21,2005-10
13,55,66,15,21,2006-04
14,55,61,14,21,2008-04
15,55,61,14,21,2008-07
16,55,61,14,21,2008-10
17,55,66,15,21,2006-07
18,55,66,15,21,2006-10
19,55,66,15,21,2007-01
20,55,66,15,21,2007-04
21,55,66,15,21,2007-07
22,55,61,14,21,2007-10
23,55,61,14,21,2008-01
