ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,95,331,72,105,2003-07
2,95,617,130,125,2003-10
3,94,596,124,126,2004-01
4,94,586,126,128,2004-04
5,95,656,146,139,2004-07
6,95,663,147,140,2004-10
7,94,206,54,100,2003-04
8,94,709,151,134,2006-01
9,95,682,158,140,2005-01
10,94,707,151,133,2005-04
11,94,709,151,134,2005-07
12,94,709,151,134,2005-10
13,94,709,151,134,2006-04
14,95,698,155,137,2008-04
15,95,698,155,137,2008-07
16,95,714,161,146,2008-10
17,94,709,151,134,2006-07
18,94,686,152,134,2006-10
19,94,686,152,134,2007-01
20,95,698,155,136,2007-04
21,95,698,155,136,2007-07
22,95,699,155,136,2007-10
23,95,699,155,136,2008-01
