ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,58,56,12,39,2003-07
2,58,56,12,38,2003-10
3,58,56,12,38,2004-01
4,58,57,12,38,2004-04
5,55,76,18,43,2004-07
6,55,76,18,43,2004-10
7,48,40,9,35,2003-04
8,69,64,16,42,2006-01
9,55,76,18,43,2005-01
10,61,62,16,41,2005-04
11,69,64,16,42,2005-07
12,69,64,16,42,2005-10
13,69,64,16,42,2006-04
14,66,111,27,48,2008-04
15,66,111,27,48,2008-07
16,66,111,27,48,2008-10
17,69,64,16,42,2006-07
18,69,64,16,42,2006-10
19,69,64,16,42,2007-01
20,69,64,16,42,2007-04
21,66,111,27,47,2007-07
22,66,111,27,48,2007-10
23,66,111,27,48,2008-01
