ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
7,69,98,24,26,2003-04
1,71,101,25,27,2003-07
2,69,99,25,26,2003-10
3,69,99,25,26,2004-01
4,69,105,27,26,2004-04
5,66,141,38,30,2004-07
6,66,141,38,30,2004-10
9,66,141,38,30,2005-01
10,66,154,39,30,2005-04
11,75,165,40,31,2005-07
12,75,165,40,31,2005-10
8,75,165,40,31,2006-01
13,75,165,40,31,2006-04
17,75,165,40,31,2006-07
18,75,165,40,31,2006-10
19,75,161,40,31,2007-01
20,75,161,40,31,2007-04
21,75,161,40,31,2007-07
22,73,167,41,32,2007-10
23,73,170,41,32,2008-01
14,73,170,41,32,2008-04
15,73,170,41,32,2008-07
16,73,170,41,32,2008-10
