ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,56,58,12,39,2003-07
2,56,58,12,38,2003-10
3,56,58,12,38,2004-01
4,56,58,12,38,2004-04
5,56,58,12,42,2004-07
6,56,58,12,42,2004-10
7,44,41,9,35,2003-04
8,70,47,10,41,2006-01
9,56,58,12,42,2005-01
10,62,44,10,40,2005-04
11,70,47,10,41,2005-07
12,70,47,10,41,2005-10
13,70,47,10,41,2006-04
14,65,75,18,44,2008-04
15,65,75,18,44,2008-07
16,65,75,18,44,2008-10
17,70,47,10,41,2006-07
18,70,47,10,41,2006-10
19,70,47,10,41,2007-01
20,70,47,10,41,2007-04
21,70,47,10,41,2007-07
22,65,75,18,44,2007-10
23,65,75,18,44,2008-01
