ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,51,41,9,36,2003-07
2,51,41,9,35,2003-10
3,51,41,9,35,2004-01
4,51,41,9,35,2004-04
5,52,63,16,42,2004-07
6,52,63,16,42,2004-10
7,33,26,6,32,2003-04
8,69,52,13,40,2006-01
9,52,63,16,42,2005-01
10,59,51,13,39,2005-04
11,69,52,13,40,2005-07
12,69,52,13,40,2005-10
13,69,52,13,40,2006-04
14,69,52,13,41,2008-04
15,69,52,13,41,2008-07
16,69,52,13,41,2008-10
17,69,52,13,40,2006-07
18,69,52,13,40,2006-10
19,69,52,13,40,2007-01
20,69,52,13,40,2007-04
21,69,52,13,40,2007-07
22,69,52,13,41,2007-10
23,69,52,13,41,2008-01
