ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,77,30,7,22,2003-07
2,77,30,7,22,2003-10
3,77,30,7,22,2004-01
4,77,30,7,22,2004-04
5,77,30,7,22,2004-07
6,77,30,7,22,2004-10
7,77,30,7,22,2003-04
8,57,28,7,22,2006-01
9,77,30,7,22,2005-01
10,57,28,7,22,2005-04
11,57,28,7,22,2005-07
12,57,28,7,22,2005-10
13,57,28,7,22,2006-04
14,57,28,7,22,2008-04
15,57,28,7,22,2008-07
16,57,28,7,22,2008-10
17,57,28,7,22,2006-07
18,57,28,7,22,2006-10
19,57,28,7,22,2007-01
20,57,28,7,22,2007-04
21,57,28,7,22,2007-07
22,57,28,7,22,2007-10
23,57,28,7,22,2008-01
