ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,62,144,12,20,2003-07
2,71,130,10,19,2003-10
3,71,130,10,19,2004-01
4,75,156,12,20,2004-04
5,75,156,12,20,2004-07
6,75,156,12,20,2004-10
7,71,129,10,19,2003-04
8,80,241,14,22,2006-01
9,75,156,12,20,2005-01
10,75,156,12,20,2005-04
11,75,168,12,20,2005-07
12,80,241,14,22,2005-10
13,80,241,14,22,2006-04
14,84,348,26,28,2008-04
15,84,348,26,28,2008-07
16,84,348,26,28,2008-10
17,80,241,14,22,2006-07
18,80,241,14,22,2006-10
19,80,241,14,22,2007-01
20,86,327,25,27,2007-07
21,86,327,25,27,2007-10
22,84,348,26,28,2008-01
