ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,60,38,5,17,2003-07
2,60,38,5,17,2003-10
3,60,38,5,17,2004-01
4,60,38,5,17,2004-04
5,60,38,5,17,2004-07
6,60,38,5,17,2004-10
7,60,37,5,17,2003-04
8,60,38,5,17,2006-01
9,60,38,5,17,2005-01
10,60,38,5,17,2005-04
11,60,38,5,17,2005-07
12,60,38,5,17,2005-10
13,60,38,5,17,2006-04
14,60,38,5,17,2008-04
15,60,38,5,17,2008-07
16,60,38,5,17,2008-10
17,60,38,5,17,2006-07
18,60,38,5,17,2006-10
19,60,38,5,17,2007-01
20,60,38,5,17,2007-07
21,60,38,5,17,2007-10
22,60,38,5,17,2008-01
