ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,50,67,7,18,2003-07
2,50,67,7,18,2003-10
3,50,67,7,18,2004-01
4,50,67,7,18,2004-04
5,50,67,7,18,2004-07
6,50,67,7,18,2004-10
7,50,65,7,18,2003-04
8,42,79,8,19,2006-01
9,50,67,7,18,2005-01
10,50,67,7,18,2005-04
11,42,79,8,19,2005-07
12,42,79,8,19,2005-10
13,42,79,8,19,2006-04
14,42,78,8,19,2008-04
15,42,78,8,19,2008-07
16,42,78,8,19,2008-10
17,42,79,8,19,2006-07
18,42,79,8,19,2006-10
19,42,79,8,19,2007-01
20,42,78,8,19,2007-07
21,42,78,8,19,2007-10
22,42,78,8,19,2008-01
