ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,42,61,17,19,2003-07
2,37,70,19,20,2003-10
3,37,70,19,20,2004-01
4,37,71,19,20,2004-04
5,37,71,19,20,2004-07
6,37,71,19,20,2004-10
7,68,70,18,20,2006-01
8,37,71,19,20,2005-01
9,37,71,19,20,2005-04
10,68,70,18,20,2005-07
11,68,70,18,20,2005-10
12,68,70,18,20,2006-04
13,68,70,18,20,2008-04
14,68,68,18,20,2008-07
15,68,68,18,20,2008-10
16,68,70,18,20,2006-07
17,68,70,18,20,2006-10
18,68,70,18,20,2007-01
19,68,70,18,20,2007-04
20,68,70,18,20,2007-07
21,68,70,18,20,2007-10
22,68,70,18,20,2008-01
