ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,0,45,8,14,2003-07
2,0,45,8,14,2003-10
3,0,45,8,14,2004-01
4,0,45,8,14,2004-04
5,0,45,8,14,2004-07
6,0,43,7,14,2004-10
7,50,47,7,14,2006-01
8,0,43,7,14,2005-01
9,0,43,7,14,2005-04
10,50,47,7,14,2005-07
11,50,47,7,14,2005-10
12,50,47,7,14,2006-04
13,50,47,7,14,2008-04
14,50,47,7,14,2008-07
15,50,47,7,14,2008-10
16,50,47,7,14,2006-07
17,50,47,7,14,2006-10
18,50,47,7,14,2007-01
19,50,47,7,14,2007-04
20,50,47,7,14,2007-07
21,50,47,7,14,2007-10
22,50,47,7,14,2008-01
