ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,0,13,2,35,2003-07
2,0,25,6,39,2003-10
3,0,25,6,39,2004-01
4,0,25,6,39,2004-04
5,0,25,6,39,2004-07
6,0,25,6,39,2004-10
7,0,13,2,35,2003-04
8,100,31,7,40,2006-01
9,0,25,6,39,2005-01
10,0,25,6,39,2005-04
11,100,27,6,39,2005-07
12,100,31,7,40,2005-10
13,100,31,7,40,2006-04
14,100,31,7,42,2008-04
15,100,31,7,42,2008-07
16,100,31,7,42,2008-10
17,100,31,7,40,2006-07
18,100,31,7,40,2006-10
19,100,31,7,40,2007-01
20,100,31,7,40,2007-04
21,100,31,7,40,2007-07
22,100,31,7,40,2007-10
23,100,31,7,42,2008-01
