ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,0,52,7,36,2003-07
2,0,64,11,40,2003-10
3,0,64,11,40,2004-01
4,0,71,11,40,2004-04
5,0,71,11,40,2004-07
6,0,71,11,40,2004-10
7,0,52,7,36,2003-04
8,100,77,12,41,2006-01
9,0,71,11,40,2005-01
10,0,71,11,40,2005-04
11,100,73,11,40,2005-07
12,100,77,12,41,2005-10
13,100,77,12,41,2006-04
14,100,77,12,43,2008-04
15,100,77,12,43,2008-07
16,100,77,12,43,2008-10
17,100,77,12,41,2006-07
18,100,77,12,41,2006-10
19,100,77,12,41,2007-01
20,100,77,12,41,2007-04
21,100,77,12,41,2007-07
22,100,77,12,41,2007-10
23,100,77,12,43,2008-01
