ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,86,100,28,34,2003-07
2,81,134,34,37,2003-10
3,81,134,34,37,2004-01
4,81,134,34,37,2004-04
5,81,134,34,37,2004-07
6,81,134,34,37,2004-10
7,88,101,28,34,2003-04
8,83,151,40,37,2006-01
9,81,145,40,37,2005-01
10,81,145,40,37,2005-04
11,83,151,40,37,2005-07
12,83,151,40,37,2005-10
13,83,151,40,37,2006-04
14,80,161,41,38,2008-04
15,80,161,41,38,2008-07
16,80,161,41,38,2008-10
17,83,151,40,37,2006-07
18,83,151,40,37,2006-10
19,83,151,40,37,2007-01
20,83,151,40,37,2007-04
21,83,151,40,37,2007-07
22,83,151,40,37,2007-10
23,80,161,41,38,2008-01
