ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,92,278,56,89,2003-07
2,89,319,63,92,2003-10
3,89,319,63,93,2004-01
4,90,332,66,95,2004-04
5,90,332,66,97,2004-07
6,90,335,67,97,2004-10
7,93,292,60,92,2003-04
8,91,396,87,99,2006-01
9,90,353,76,97,2005-01
10,89,350,75,96,2005-04
11,90,368,79,95,2005-07
12,91,396,87,99,2005-10
13,91,396,87,99,2006-04
14,90,408,89,108,2008-04
15,90,408,89,109,2008-07
16,90,408,89,109,2008-10
17,91,396,87,101,2006-07
18,91,396,87,102,2006-10
19,91,396,87,102,2007-01
20,90,408,89,104,2007-04
21,90,408,89,107,2007-07
22,90,408,89,107,2007-10
23,90,408,89,107,2008-01
