ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,68,98,28,717,2003-07
2,71,121,33,722,2003-10
3,72,127,35,724,2004-01
4,72,127,35,724,2004-04
5,72,127,35,724,2004-07
6,72,127,35,724,2004-10
7,68,98,28,717,2003-04
8,77,132,35,724,2006-01
9,72,127,35,724,2005-01
10,72,127,35,724,2005-04
11,77,132,35,724,2005-07
12,77,132,35,724,2005-10
13,77,132,35,724,2006-04
14,77,131,35,724,2008-04
15,77,131,35,724,2008-07
16,77,131,35,724,2008-10
17,77,132,35,724,2006-07
18,77,132,35,724,2006-10
19,77,131,35,724,2007-01
20,77,131,35,724,2007-04
21,77,131,35,724,2007-07
22,77,131,35,724,2007-10
23,77,131,35,724,2008-01
