ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,95,457,88,109,2003-07
2,94,567,112,125,2003-10
3,94,567,115,126,2004-01
4,94,582,115,126,2004-04
5,94,638,137,131,2004-07
6,94,638,137,131,2004-10
7,94,438,84,108,2003-04
8,92,631,124,122,2006-01
9,94,647,140,131,2005-01
10,95,683,142,135,2005-04
11,92,597,113,118,2005-07
12,92,631,124,122,2005-10
13,92,631,124,122,2006-04
14,92,615,124,129,2008-04
15,92,615,124,130,2008-07
16,92,616,124,130,2008-10
17,92,631,124,124,2006-07
18,92,631,124,125,2006-10
19,92,631,124,125,2007-01
20,92,612,124,125,2007-04
21,92,613,124,128,2007-07
22,92,613,124,128,2007-10
23,92,615,124,128,2008-01
