ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,95,577,116,130,2003-07
2,95,591,118,132,2003-10
3,95,638,123,135,2004-01
4,95,633,123,135,2004-04
5,95,633,123,137,2004-07
6,95,633,123,137,2004-10
7,95,587,117,129,2003-04
8,95,711,146,134,2006-01
9,95,670,141,139,2005-01
10,95,689,138,136,2005-04
11,95,685,137,135,2005-07
12,95,711,146,134,2005-10
13,95,711,146,134,2006-04
14,96,749,165,151,2008-04
15,96,749,165,152,2008-07
16,96,750,165,152,2008-10
17,95,711,146,136,2006-07
18,95,713,146,137,2006-10
19,95,678,146,137,2007-01
20,95,678,146,137,2007-04
21,95,697,152,140,2007-07
22,96,749,165,150,2007-10
23,96,749,165,150,2008-01
