ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,0,82,9,18,2003-07
2,0,248,15,21,2003-10
3,0,248,15,21,2004-01
4,0,321,19,23,2004-04
5,0,319,19,23,2004-07
6,0,323,20,24,2004-10
7,0,81,9,18,2003-04
8,0,504,29,30,2006-01
9,0,343,20,24,2005-01
10,0,388,23,27,2005-04
11,0,496,29,30,2005-07
12,0,504,29,30,2005-10
13,0,520,30,31,2006-04
14,0,670,43,39,2008-04
15,0,670,43,39,2008-07
16,0,779,49,41,2008-10
17,0,519,30,31,2006-07
18,0,519,30,31,2006-10
19,0,613,37,35,2007-01
20,0,654,41,37,2007-07
21,0,662,41,37,2007-10
22,0,662,41,37,2008-01
