ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,65,50,13,22,2003-07
2,65,49,12,22,2003-10
3,65,49,12,22,2004-01
4,65,49,12,22,2004-04
5,65,49,12,22,2004-07
6,65,49,12,22,2004-10
7,65,49,12,22,2006-01
8,65,49,12,22,2005-01
9,65,49,12,22,2005-04
10,65,49,12,22,2005-07
11,65,49,12,22,2005-10
12,65,49,12,22,2006-04
13,59,65,17,23,2008-04
14,59,65,17,23,2008-07
15,59,65,17,23,2008-10
16,65,49,12,22,2006-07
17,65,49,12,22,2006-10
18,65,49,12,22,2007-01
19,65,49,12,22,2007-04
20,65,49,12,22,2007-07
21,65,49,12,22,2007-10
22,59,65,17,23,2008-01
