ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,71,41,9,102,2003-07
2,70,46,11,21,2003-10
3,70,46,11,21,2004-01
4,70,46,11,21,2004-04
5,70,46,11,21,2004-07
6,70,46,11,21,2004-10
7,70,48,11,21,2006-01
8,70,46,11,21,2005-01
9,70,48,11,21,2005-04
10,70,48,11,21,2005-07
11,70,48,11,21,2005-10
12,70,48,11,21,2006-04
13,70,48,11,21,2008-04
14,70,47,11,21,2008-07
15,70,47,11,21,2008-10
16,70,48,11,21,2006-07
17,70,48,11,21,2006-10
18,70,48,11,21,2007-01
19,70,48,11,21,2007-04
20,70,48,11,21,2007-07
21,70,48,11,21,2007-10
22,70,48,11,21,2008-01
