ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,50,40,9,99,2003-07
2,70,48,12,20,2003-10
3,70,48,12,20,2004-01
4,70,48,12,20,2004-04
5,70,48,12,20,2004-07
6,70,48,12,20,2004-10
7,70,49,12,20,2006-01
8,70,48,12,20,2005-01
9,70,49,12,20,2005-04
10,70,49,12,20,2005-07
11,70,49,12,20,2005-10
12,70,49,12,20,2006-04
13,70,49,12,20,2008-04
14,70,49,12,20,2008-07
15,70,49,12,20,2008-10
16,70,49,12,20,2006-07
17,70,49,12,20,2006-10
18,70,49,12,20,2007-01
19,70,49,12,20,2007-04
20,70,49,12,20,2007-07
21,70,49,12,20,2007-10
22,70,49,12,20,2008-01
