ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,40,25,7,17,2003-07
2,40,25,7,17,2003-10
3,40,25,7,17,2004-01
4,40,26,7,17,2004-04
5,40,26,7,17,2004-07
6,40,26,7,17,2004-10
7,40,25,7,17,2003-04
8,40,28,7,17,2006-01
9,40,26,7,17,2005-01
10,40,28,7,17,2005-04
11,40,28,7,17,2005-07
12,40,28,7,17,2005-10
13,40,28,7,17,2006-04
14,40,28,7,17,2008-04
15,40,28,7,17,2008-07
16,40,28,7,17,2008-10
17,40,28,7,17,2006-07
18,40,28,7,17,2006-10
19,40,28,7,17,2007-01
20,40,28,7,17,2007-04
21,40,28,7,17,2007-07
22,40,28,7,17,2007-10
23,40,28,7,17,2008-01
