ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,0,117,23,22,2003-07
2,0,120,23,22,2003-10
3,0,120,23,22,2004-01
4,66,140,28,24,2004-04
5,66,140,28,24,2004-07
6,66,141,28,24,2004-10
7,0,110,22,21,2003-04
8,71,184,35,26,2006-01
9,66,141,28,24,2005-01
10,71,184,35,26,2005-04
11,71,184,35,26,2005-07
12,71,184,35,26,2005-10
13,71,168,35,26,2006-04
14,71,168,35,26,2008-04
15,71,168,35,26,2008-07
16,71,168,35,26,2008-10
17,71,168,35,26,2006-07
18,71,168,35,26,2006-10
19,71,168,35,26,2007-01
20,71,168,35,26,2007-04
21,71,168,35,26,2007-07
22,71,168,35,26,2007-10
23,71,168,35,26,2008-01
