ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,42,60,17,19,2003-07
2,42,60,17,19,2003-10
3,42,60,17,19,2004-01
4,42,72,21,19,2004-04
5,42,72,21,19,2004-07
6,42,72,21,19,2004-10
7,42,60,17,19,2003-04
8,71,73,21,19,2006-01
9,42,72,21,19,2005-01
10,42,72,21,19,2005-04
11,71,73,21,19,2005-07
12,71,73,21,19,2005-10
13,71,73,21,19,2006-04
14,68,80,22,20,2008-04
15,68,80,22,20,2008-07
16,68,80,22,20,2008-10
17,71,73,21,19,2006-07
18,71,73,21,19,2006-10
19,71,73,21,19,2007-01
20,71,73,21,19,2007-04
21,71,73,21,19,2007-07
22,71,73,21,19,2007-10
23,71,73,21,19,2008-01
