ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,41,26,5,16,2003-07
2,44,50,10,18,2003-10
3,44,51,10,18,2004-01
4,38,65,17,19,2004-04
5,38,74,20,19,2004-07
6,38,74,20,19,2004-10
7,41,26,5,16,2003-04
8,53,84,20,19,2006-01
9,38,74,20,19,2005-01
10,38,83,20,19,2005-04
11,53,84,20,19,2005-07
12,53,84,20,19,2005-10
13,53,84,20,19,2006-04
14,53,82,20,19,2008-04
15,53,82,20,19,2008-07
16,53,82,20,19,2008-10
17,53,84,20,19,2006-07
18,53,84,20,19,2006-10
19,53,84,20,19,2007-01
20,53,84,20,19,2007-04
21,53,84,20,19,2007-07
22,53,84,20,19,2007-10
23,53,82,20,19,2008-01
