ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,41,25,5,16,2003-07
2,41,25,5,16,2003-10
3,41,25,5,16,2004-01
4,33,42,9,17,2004-04
5,33,42,9,17,2004-07
6,33,42,9,17,2004-10
7,41,25,5,16,2003-04
8,60,64,14,17,2006-01
9,33,45,11,17,2005-01
10,53,63,14,17,2005-04
11,60,64,14,17,2005-07
12,60,64,14,17,2005-10
13,60,64,14,17,2006-04
14,60,62,14,17,2008-04
15,60,62,14,17,2008-07
16,60,62,14,17,2008-10
17,60,64,14,17,2006-07
18,60,64,14,17,2006-10
19,60,64,14,17,2007-01
20,60,62,14,17,2007-04
21,60,62,14,17,2007-07
22,60,62,14,17,2007-10
23,60,62,14,17,2008-01
