ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,33,30,6,15,2003-07
2,33,30,6,15,2003-10
3,33,30,6,15,2004-01
4,33,31,6,15,2004-04
5,33,31,6,15,2004-07
6,33,31,6,15,2004-10
7,33,30,6,15,2003-04
8,46,33,6,15,2006-01
9,33,31,6,15,2005-01
10,33,32,6,15,2005-04
11,46,33,6,15,2005-07
12,46,33,6,15,2005-10
13,46,33,6,15,2006-04
14,60,82,21,20,2008-04
15,60,82,21,20,2008-07
16,60,82,21,20,2008-10
17,46,33,6,15,2006-07
18,46,33,6,15,2006-10
19,46,33,6,15,2007-01
20,46,33,6,15,2007-04
21,60,82,21,20,2007-07
22,60,82,21,20,2007-10
23,60,82,21,20,2008-01
