ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,28,124,30,26,2003-07
2,26,134,32,27,2003-10
3,26,133,32,27,2004-01
4,25,136,35,28,2004-04
5,25,138,35,28,2004-07
6,25,138,35,28,2004-10
7,28,123,30,26,2003-04
8,66,141,36,30,2006-01
9,25,133,34,28,2005-01
10,33,137,35,30,2005-04
11,66,141,36,30,2005-07
12,66,141,36,30,2005-10
13,66,141,36,30,2006-04
14,68,191,46,34,2008-04
15,68,190,46,34,2008-07
16,68,190,46,34,2008-10
17,65,147,38,31,2006-07
18,65,145,38,31,2006-10
19,65,145,38,31,2007-01
20,65,145,38,31,2007-04
21,66,167,44,33,2007-07
22,68,193,47,34,2007-10
23,68,191,46,34,2008-01
