ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,61,132,34,31,2003-07
2,63,135,35,32,2003-10
3,63,135,35,32,2004-01
4,64,200,50,35,2004-04
5,64,200,50,35,2004-07
6,64,200,50,35,2004-10
7,61,132,34,31,2003-04
8,68,227,54,35,2006-01
9,60,216,54,35,2005-01
10,60,217,54,35,2005-04
11,68,226,54,35,2005-07
12,68,227,54,35,2005-10
13,68,227,54,35,2006-04
14,67,253,62,35,2008-04
15,67,252,62,35,2008-07
16,67,252,62,35,2008-10
17,68,227,54,35,2006-07
18,68,227,54,35,2006-10
19,67,232,56,35,2007-01
20,67,232,56,35,2007-04
21,67,235,57,35,2007-07
22,67,235,57,35,2007-10
23,67,253,62,35,2008-01
