ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,37,17,4,16,2003-07
2,37,17,4,16,2003-10
3,37,17,4,16,2004-01
4,33,44,12,18,2004-04
5,33,44,12,18,2004-07
6,33,44,12,18,2004-10
7,37,17,4,16,2003-04
8,55,42,11,18,2006-01
9,33,41,11,18,2005-01
10,33,41,11,18,2005-04
11,55,42,11,18,2005-07
12,55,42,11,18,2005-10
13,55,42,11,18,2006-04
14,55,42,11,18,2008-04
15,55,42,11,18,2008-07
16,55,42,11,18,2008-10
17,55,42,11,18,2006-07
18,55,42,11,18,2006-10
19,55,42,11,18,2007-01
20,55,42,11,18,2007-04
21,55,42,11,18,2007-07
22,55,42,11,18,2007-10
23,55,42,11,18,2008-01
