ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,27,70,17,23,2003-07
2,27,70,17,23,2003-10
3,27,70,17,23,2004-01
4,30,120,31,25,2004-04
5,30,120,31,25,2004-07
6,30,120,31,25,2004-10
7,27,70,17,23,2003-04
8,65,121,31,25,2006-01
9,30,120,31,25,2005-01
10,30,120,31,25,2005-04
11,65,121,31,25,2005-07
12,65,121,31,25,2005-10
13,65,121,31,25,2006-04
14,62,151,39,28,2008-04
15,62,151,39,28,2008-07
16,62,151,39,28,2008-10
17,65,121,31,25,2006-07
18,65,121,31,25,2006-10
19,65,121,31,25,2007-01
20,65,121,31,25,2007-04
21,65,121,31,25,2007-07
22,62,151,39,28,2007-10
23,62,151,39,28,2008-01
