ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,0,74,16,14,2003-07
2,0,74,16,14,2003-10
3,0,74,16,14,2004-01
4,0,74,16,14,2004-04
5,0,74,16,14,2004-07
6,0,74,16,14,2004-10
7,0,74,16,14,2003-04
8,25,81,19,16,2006-01
9,0,74,16,14,2005-01
10,25,80,19,16,2005-04
11,25,81,19,16,2005-07
12,25,81,19,16,2005-10
13,25,81,19,16,2006-04
14,25,81,19,16,2008-04
15,25,81,19,16,2008-07
16,25,81,19,16,2008-10
17,25,81,19,16,2006-07
18,25,81,19,16,2006-10
19,25,81,19,16,2007-01
20,25,81,19,16,2007-04
21,25,81,19,16,2007-07
22,25,81,19,16,2007-10
23,25,81,19,16,2008-01
