ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,66,26,6,15,2003-07
2,66,26,6,15,2003-10
3,66,26,6,15,2004-01
4,66,29,7,16,2004-04
5,66,29,7,16,2004-07
6,66,29,7,16,2004-10
7,66,26,6,15,2003-04
8,66,29,7,16,2006-01
9,66,29,7,16,2005-01
10,66,29,7,16,2005-04
11,66,29,7,16,2005-07
12,66,29,7,16,2005-10
13,66,29,7,16,2006-04
14,66,29,7,16,2008-04
15,66,29,7,16,2008-07
16,66,29,7,16,2008-10
17,66,29,7,16,2006-07
18,66,29,7,16,2006-10
19,66,29,7,16,2007-01
20,66,29,7,16,2007-04
21,66,29,7,16,2007-07
22,66,29,7,16,2007-10
23,66,29,7,16,2008-01
