ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,81,136,27,45,2003-07
2,81,139,28,46,2003-10
3,81,139,28,46,2004-01
4,81,134,27,46,2004-04
5,81,134,27,46,2004-07
6,81,134,27,46,2004-10
7,81,136,27,44,2003-04
8,84,144,31,48,2006-01
9,81,142,31,48,2005-01
10,81,142,31,48,2005-04
11,84,144,31,48,2005-07
12,84,144,31,48,2005-10
13,84,144,31,48,2006-04
14,87,159,34,52,2008-04
15,87,159,34,52,2008-07
16,87,159,34,52,2008-10
17,84,144,31,48,2006-07
18,87,159,34,52,2006-10
19,87,159,34,52,2007-01
20,87,159,34,52,2007-04
21,87,159,34,52,2007-07
22,87,159,34,52,2007-10
23,87,159,34,52,2008-01
