ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,25,18,5,16,2003-07
2,25,18,5,16,2003-10
3,25,18,5,16,2004-01
4,25,18,5,16,2004-04
5,25,18,5,16,2004-07
6,25,18,5,16,2004-10
7,25,18,5,16,2003-04
8,25,18,5,16,2006-01
9,25,18,5,16,2005-01
10,25,18,5,16,2005-04
11,25,18,5,16,2005-07
12,25,18,5,16,2005-10
13,25,18,5,16,2006-04
14,25,18,5,16,2008-04
15,25,18,5,16,2008-07
16,25,18,5,16,2008-10
17,25,18,5,16,2006-07
18,25,18,5,16,2006-10
19,25,18,5,16,2007-01
20,25,18,5,16,2007-04
21,25,18,5,16,2007-07
22,25,18,5,16,2007-10
23,25,18,5,16,2008-01
