ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,91,357,81,66,2003-07
2,91,378,87,69,2003-10
3,91,378,87,69,2004-01
4,91,371,87,69,2004-04
5,91,369,87,75,2004-07
6,91,369,87,76,2004-10
7,91,354,80,66,2003-04
8,91,387,88,78,2006-01
9,91,406,98,83,2005-01
10,91,373,88,76,2005-04
11,91,387,88,78,2005-07
12,91,387,88,78,2005-10
13,91,387,88,78,2006-04
14,91,387,88,78,2008-04
15,91,387,88,78,2008-07
16,91,387,88,78,2008-10
17,91,387,88,78,2006-07
18,91,387,88,78,2006-10
19,91,387,88,78,2007-01
20,91,387,88,78,2007-04
21,91,387,88,78,2007-07
22,91,387,88,78,2007-10
23,91,387,88,78,2008-01
